Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
430,Jaylon Tyson,22,CLE,SG,20,1,7.5,0.9,1.9,0.447,0.2,0.7,0.286,0.7,1.2,0.542,0.5,0.2,0.4,0.5,0.7,1.1,1.7,0.7,0.3,0,0.5,1.2,2.1,
431,Patrick Baldwin Jr.,22,WAS,SF,15,0,4.1,0.7,1.4,0.524,0.4,0.8,0.5,0.3,0.6,0.556,0.667,0.1,0.3,0.5,0.2,0.6,0.8,0.1,0.1,0.1,0.1,0.3,2,
432,Justin Edwards,21,PHI,SF,4,0,5.8,1,2.3,0.444,0,1.3,0,1,1,1,0.444,0,0.3,0,0,0.5,0.5,0.5,0.5,0,0.3,0.5,2,
433,Jalen Hood-Schifino,21,LAL,SG,2,0,7,0.5,0.5,1,0,0,,0.5,0.5,1,1,1,1,1,0.5,0,0.5,0.5,0,0.5,0.5,1.5,2,
434,Caleb Houstan,22,ORL,SF,23,1,7.9,0.6,1.9,0.326,0.5,1.6,0.333,0.1,0.3,0.286,0.465,0.2,0.2,1,0.2,0.4,0.6,0.3,0.2,0.1,0,0.6,2,
435,Dillon Jones,23,OKC,SF,26,0,8.1,0.8,2.3,0.328,0.3,1.4,0.194,0.5,1,0.52,0.385,0.2,0.5,0.5,0.6,1.2,1.8,0.7,0.2,0.1,0.3,0.9,2,
436,Cory Joseph,33,ORL,PG,21,0,6.6,0.7,2,0.366,0.5,1.3,0.393,0.2,0.6,0.308,0.5,0,0,,0.2,0.7,1,0.8,0.3,0.1,0.3,0.4,2,
437,Leonard Miller,21,MIN,SF,1,0,2,0,0,,0,0,,0,0,,,2,2,1,0,0,0,0,1,0,0,0,2,
438,Markieff Morris,35,DAL,PF,5,0,5,0.8,2.8,0.286,0.4,1.4,0.286,0.4,1.4,0.286,0.357,0,0,,0,1.2,1.2,0.6,0,0.2,0.4,0.2,2,
439,Alex Reese,25,OKC,PF,1,0,2,1,1,1,0,0,,1,1,1,1,0,0,,1,0,1,0,0,0,0,0,2,
440,Orlando Robinson,24,SAC,C,8,0,6.3,0.8,1.9,0.4,0.1,0.6,0.2,0.6,1.3,0.5,0.433,0.4,0.8,0.5,0.4,1.1,1.5,1.1,0.3,0.1,0.4,0.8,2,
441,Adama Sanogo,22,CHI,C,4,0,5.3,1,1.8,0.571,0,0,,1,1.8,0.571,0.571,0,0,,1.3,0.3,1.5,0.3,0,0,0.3,0.3,2,
442,Tyler Smith,20,MIL,PF,11,0,3.5,0.8,1.3,0.643,0.3,0.7,0.375,0.5,0.5,1,0.75,0.1,0.2,0.5,0.1,0.8,0.9,0.1,0,0.3,0.3,0.4,2,
443,Ariel Hukporti,22,NYK,C,12,0,8.3,0.8,1.2,0.643,0,0,,0.8,1.2,0.643,0.643,0.3,0.7,0.5,0.3,1.5,1.8,0.5,0,0.7,0.8,1.2,1.8,
444,Keshad Johnson,23,MIA,SF,4,0,6.5,0.8,1,0.75,0.3,0.5,0.5,0.5,0.5,1,0.875,0,0,,0,2.3,2.3,0.3,0,0.8,0.3,0.5,1.8,
445,MarJon Beauchamp,24,MIL,SF,15,0,3.9,0.6,1.5,0.409,0.2,0.7,0.273,0.4,0.7,0.545,0.477,0.3,0.4,0.833,0.1,0.9,1.1,0.1,0.1,0,0.7,0.3,1.7,
446,Jericho Sims,26,NYK,C,29,2,11.6,0.8,1.2,0.647,0,0,,0.8,1.2,0.647,0.647,0.2,0.3,0.667,1.3,2.2,3.6,0.6,0.2,0.3,0.5,1.3,1.7,
447,Jordan Walsh,20,BOS,PF,26,1,8.8,0.6,1.8,0.34,0.3,1.2,0.25,0.3,0.6,0.533,0.426,0.2,0.4,0.5,0.4,0.8,1.3,0.3,0.3,0.3,0.3,0.6,1.7,
448,Pacome Dadiet,19,NYK,SG,12,0,6.8,0.5,1.7,0.3,0.4,1.2,0.357,0.1,0.5,0.167,0.425,0.2,0.2,1,0,1.1,1.1,0.4,0.1,0.2,0.1,0.4,1.6,
449,Jazian Gortman,21,DAL,PG,15,0,3.7,0.6,1.5,0.391,0.3,0.7,0.364,0.3,0.8,0.417,0.478,0.1,0.3,0.5,0.1,0.3,0.3,0.4,0.1,0.1,0.3,0.6,1.6,
450,James Johnson,37,IND,PF,5,0,4.4,0.8,1.4,0.571,0,0.2,0,0.8,1.2,0.667,0.571,0,0.2,0,0,0.8,0.8,0.6,0,0.4,0.8,0.6,1.6,
451,Yuki Kawamura,23,MEM,PG,15,0,3.5,0.5,1.3,0.4,0.3,0.9,0.286,0.3,0.4,0.667,0.5,0.3,0.4,0.667,0,0.3,0.3,0.7,0.1,0,0.3,0.3,1.6,
452,Alex Len,31,SAC,C,27,3,7.4,0.7,1.3,0.528,0,0.1,0,0.7,1.2,0.594,0.528,0.2,0.4,0.545,0.7,1.2,1.9,0.9,0.2,0.6,0.3,0.9,1.6,
453,Dwight Powell,33,DAL,C,28,0,7.9,0.4,0.5,0.8,0,0,1,0.4,0.5,0.786,0.833,0.7,1,0.679,0.6,1.2,1.8,0.7,0.4,0.5,0.2,1.2,1.6,
454,Adem Bona,21,PHI,C,17,0,6.8,0.5,0.9,0.6,0,0,,0.5,0.9,0.6,0.6,0.5,0.5,0.889,0.5,1.2,1.8,0.1,0.1,0.5,0.4,1.2,1.5,
455,Enrique Freeman,24,IND,PF,17,1,7,0.6,1.3,0.455,0.1,0.4,0.167,0.5,0.9,0.563,0.477,0.3,0.5,0.556,0.2,0.6,0.8,0.4,0.1,0.1,0.2,0.9,1.5,
456,Matt Ryan,27,NYK,SF,10,0,4.6,0.6,2.1,0.286,0.3,1.4,0.214,0.3,0.7,0.429,0.357,0,0,,0,0.2,0.2,0,0.1,0,0.3,0,1.5,
457,Terrence Shannon Jr.,24,MIN,SG,10,0,4.5,0.7,1.3,0.538,0.1,0.3,0.333,0.6,1,0.6,0.577,0,0,,0,0.2,0.2,0.5,0.2,0.1,0.3,0.1,1.5,
458,Armel Traoré,22,LAL,SF,8,0,7.6,0.6,2.3,0.278,0,0.9,0,0.6,1.4,0.455,0.278,0.3,0.9,0.286,0.1,1.6,1.8,0.1,0.5,0.3,0.3,0.8,1.5,
459,Colin Castleton,24,MEM,C,10,0,4.6,0.2,1,0.2,0,0.4,0,0.2,0.6,0.333,0.2,1,1.1,0.909,0.3,0.6,0.9,0,0.1,0.1,0.1,0.6,1.4,
460,Adam Flagler,25,OKC,SG,11,0,3.6,0.5,1.8,0.25,0.5,1.7,0.263,0,0.1,0,0.375,0,0,,0.2,0.4,0.5,0,0.2,0,0,0.4,1.4,
461,AJ Johnson,20,MIL,SG,5,0,2.2,0.6,1.2,0.5,0.2,0.2,1,0.4,1,0.4,0.583,0,0,,0,0.4,0.4,0.2,0,0,0.4,0,1.4,
462,Jaden Springer,22,BOS,SG,14,0,4.5,0.3,1,0.286,0,0.3,0,0.3,0.7,0.4,0.286,0.9,1.1,0.8,0.3,0.7,1,0.4,0.3,0,0.1,0.6,1.4,
463,Jack McVeigh,28,HOU,PF,6,0,3.5,0.5,1.8,0.273,0.3,1.3,0.25,0.2,0.5,0.333,0.364,0,0,,0.2,0.5,0.7,0.2,0,0.2,0.2,0.2,1.3,
464,Pat Spencer,28,GSW,PG,11,0,5.2,0.5,1.6,0.333,0,0.3,0,0.5,1.4,0.4,0.333,0.2,0.2,1,0.4,0.7,1.1,1.5,0.5,0,0.4,0.4,1.3,
465,Luke Travers,23,CLE,SG,6,0,7,0.5,1.2,0.429,0,0.5,0,0.5,0.7,0.75,0.429,0.3,0.3,1,0.2,0.8,1,0.8,0.2,0.2,0.3,0.5,1.3,
466,Sidy Cissoko,20,SAS,SF,13,0,3.2,0.5,1,0.462,0.2,0.5,0.5,0.2,0.5,0.429,0.577,0,0.3,0,0.2,0.5,0.6,0.5,0,0,0.1,0.4,1.2,
467,JD Davison,22,BOS,PG,5,0,4.8,0.4,1,0.4,0.2,0.6,0.333,0.2,0.4,0.5,0.5,0.2,0.4,0.5,0,0.4,0.4,0.2,0.2,0,1.2,0.2,1.2,
468,Zeke Nnaji,24,DEN,PF,19,0,4.6,0.6,1.4,0.423,0,0.5,0,0.6,0.9,0.647,0.423,0.1,0.3,0.2,0.1,0.3,0.4,0.2,0.1,0.1,0.1,0.4,1.2,
469,Colby Jones,22,SAC,SG,22,0,5.4,0.5,1.1,0.417,0.2,0.4,0.444,0.3,0.7,0.4,0.5,0,0,,0.3,0.6,0.9,0.2,0.2,0.2,0.3,0.6,1.1,
470,Xavier Tillman Sr.,26,BOS,C,22,1,7.8,0.5,1.6,0.278,0.2,0.9,0.211,0.3,0.8,0.353,0.333,0,0.1,0.5,0.4,1.2,1.5,0.3,0.4,0.2,0.3,0.6,1.1,
471,Dominick Barlow,21,ATL,SF,6,0,4.2,0.3,1,0.333,0.2,0.2,1,0.2,0.8,0.2,0.417,0.2,0.3,0.5,0,0.7,0.7,0.2,0.2,0,0,0.3,1,
472,Mouhamed Gueye,22,ATL,PF,2,0,5.5,0.5,2,0.25,0,1,0,0.5,1,0.5,0.25,0,0,,0,1,1,0,0,0,0.5,0,1,
473,Jaylen Martin,21,BRK,SF,3,0,1.7,0.3,0.7,0.5,0.3,0.3,1,0,0.3,0,0.75,0,0,,0,0,0,0,0,0,0,0.3,1,
474,Bryce McGowens,22,POR,SG,2,0,3.5,0.5,1,0.5,0,0.5,0,0.5,0.5,1,0.5,0,0,,0.5,0,0.5,0.5,0,0,0,0,1,
475,Quinten Post,24,GSW,PF,2,0,2.5,0.5,1.5,0.333,0,1,0,0.5,0.5,1,0.333,0,0,,0.5,0,0.5,0.5,0,0,0,0,1,
476,Jared Rhoden,25,CHO,SG,4,0,3,0.5,2,0.25,0,0.5,0,0.5,1.5,0.333,0.25,0,0,,0.5,0.5,1,0.5,0.3,0,0.3,0.3,1,
477,Maxwell Lewis,22,2TM,SF,8,0,3.8,0.4,0.9,0.429,0.1,0.1,1,0.3,0.8,0.333,0.5,0,0,,0.3,0,0.3,0.3,0.1,0,0.3,0.1,0.9,
477,Maxwell Lewis,22,LAL,SF,7,0,4.1,0.3,0.9,0.333,0,0,,0.3,0.9,0.333,0.333,0,0,,0.3,0,0.3,0.3,0.1,0,0.3,0.1,0.6,
477,Maxwell Lewis,22,BRK,SF,1,0,1,1,1,1,1,1,1,0,0,,1.5,0,0,,0,0,0,0,0,0,0,0,3,
478,Trey Alexander,21,DEN,SG,10,0,4.8,0.3,1.2,0.25,0.1,0.6,0.167,0.2,0.6,0.333,0.292,0.2,0.2,1,0,0.1,0.1,0.3,0,0.1,0.1,0.3,0.9,
479,D.J. Carton,24,TOR,SG,4,0,8.3,0.3,1.8,0.143,0,0.8,0,0.3,1,0.25,0.143,0.3,0.3,1,0,1,1,0.8,0.5,0,1,0.3,0.8,
480,Ulrich Chomche,19,TOR,PF,5,0,3.8,0.4,0.6,0.667,0,0,,0.4,0.6,0.667,0.667,0,0,,0.4,0.4,0.8,0.2,0,0,0.4,0.8,0.8,
481,PJ Dozier,28,MIN,SG,9,0,3.9,0.2,0.3,0.667,0.2,0.3,0.667,0,0,,1,0.1,0.7,0.167,0.1,0.4,0.6,0.6,0.1,0,0.1,0.3,0.8,
482,Karlo Matković,23,NOP,PF,5,0,7.8,0.4,1,0.4,0,0,,0.4,1,0.4,0.4,0,0,,1.2,0.8,2,0,0.6,0.6,0.8,0.8,0.8,
483,Gui Santos,22,GSW,PF,10,0,4.7,0.3,0.9,0.333,0.1,0.6,0.167,0.2,0.3,0.667,0.389,0.1,0.2,0.5,0.2,0.7,0.9,0.4,0,0.2,0.3,0.6,0.8,
484,Baylor Scheierman,24,BOS,SG,5,0,6.8,0.2,2,0.1,0,1.2,0,0.2,0.8,0.25,0.1,0.4,0.4,1,0.4,1,1.4,0.4,0.2,0,0,0.6,0.8,
485,PJ Hall,22,DEN,C,6,0,2.3,0.3,0.8,0.4,0,0.3,0,0.3,0.5,0.667,0.4,0,0,,0,0.5,0.5,0,0,0.2,0,0.2,0.7,
486,Chris Livingston,21,MIL,SF,3,0,2,0.3,0.7,0.5,0,0,,0.3,0.7,0.5,0.5,0,0,,0.3,0.3,0.7,0.3,0.3,0,0.3,0,0.7,
487,Liam Robbins,25,MIL,C,7,0,4.7,0.3,0.6,0.5,0,0.1,0,0.3,0.4,0.667,0.5,0.1,0.6,0.25,0.6,0.4,1,0.1,0.1,0.1,0.1,0.6,0.7,
488,Tristan Vukcevic,21,WAS,C,3,0,2.3,0.3,1.3,0.25,0,1,0,0.3,0.3,1,0.25,0,0,,0.3,0,0.3,0,0,0.3,0,0.3,0.7,
489,Branden Carlson,25,OKC,C,7,0,3.6,0.1,1.1,0.125,0,0.9,0,0.1,0.3,0.5,0.125,0.3,0.3,1,0.4,0.9,1.3,0.4,0.1,0.1,0.1,0.1,0.6,
490,Cui Yongxi,21,BRK,SG,5,0,2,0.2,1.4,0.143,0,0.6,0,0.2,0.8,0.25,0.143,0.2,0.4,0.5,0,0.4,0.4,0,0,0,0,0,0.6,
491,Tristen Newton,23,IND,SG,5,0,1.6,0.2,1.2,0.167,0,0.6,0,0.2,0.6,0.333,0.167,0.2,0.2,1,0,0,0,0.2,0,0,0.2,0.4,0.6,
492,Bronny James,20,LAL,SG,8,0,2.5,0.1,1.1,0.111,0,0.5,0,0.1,0.6,0.2,0.111,0.3,0.3,1,0.1,0,0.1,0.4,0.1,0.1,0,0.3,0.5,
493,Garrett Temple,38,TOR,SG,11,0,4.3,0.2,0.9,0.2,0.1,0.5,0.2,0.1,0.5,0.2,0.25,0,0,,0.1,0.7,0.8,0.6,0.4,0.1,0.4,0.5,0.5,
494,Reece Beekman,23,2TM,PG,7,0,3.9,0.1,0.6,0.25,0,0.3,0,0.1,0.3,0.5,0.25,0.1,0.3,0.5,0.1,0,0.1,0.4,0.1,0,0.3,0.4,0.4,
494,Reece Beekman,23,GSW,PG,2,0,2,0.5,0.5,1,0,0,,0.5,0.5,1,1,0,0,,0.5,0,0.5,0.5,0.5,0,0,0.5,1,
494,Reece Beekman,23,BRK,PG,5,0,4.6,0,0.6,0,0,0.4,0,0,0.2,0,0,0.2,0.4,0.5,0,0,0,0.4,0,0,0.4,0.4,0.2,
495,Spencer Jones,23,DEN,SF,5,0,2.6,0.2,0.8,0.25,0,0.6,0,0.2,0.2,1,0.25,0,0,,0,0.6,0.6,0,0.4,0,0.2,0.2,0.4,
496,Stanley Umude,25,MIL,SG,8,0,3.3,0.1,0.6,0.2,0.1,0.5,0.25,0,0.1,0,0.3,0,0.3,0,0,0.8,0.8,0.3,0.1,0.1,0,0.1,0.4,
497,Jalen Bridges,23,PHO,SF,4,0,4.3,0,0.8,0,0,0.8,0,0,0,,0,0.3,0.5,0.5,0,0.8,0.8,0,0,0,0.5,0,0.3,
498,Malevy Leons,25,OKC,SF,6,0,3.5,0,0.3,0,0,0.2,0,0,0.2,0,0,0.3,0.7,0.5,0.2,0.3,0.5,0.2,0,0,0.2,0.7,0.3,
499,Daishen Nix,22,MIN,PG,3,0,4.3,0,0.3,0,0,0.3,0,0,0,,0,0.3,0.7,0.5,0,1.3,1.3,1,0,0,1.3,0.3,0.3,
500,Jacob Toppin,24,NYK,SF,9,0,2.7,0.1,0.3,0.333,0,0.2,0,0.1,0.1,1,0.333,0,0,,0,0.4,0.4,0.4,0,0,0.1,0.1,0.2,
501,Devin Carter,22,SAC,PG,1,0,11,0,3,0,0,2,0,0,1,0,0,0,0,,0,5,5,2,0,0,0,2,0,
502,Josh Christopher,23,MIA,SG,2,0,2,0,0.5,0,0,0.5,0,0,0,,0,0,0,,0,1,1,0,0,0,1,0,0,
503,Isaiah Crawford,23,SAC,SF,2,0,3.5,0,0,,0,0,,0,0,,,0,0,,0,0.5,0.5,0,0,0,0,0.5,0,
504,Alex Ducas,24,OKC,SG,4,0,1.8,0,0.8,0,0,0.5,0,0,0.3,0,0,0,0,,0,0,0,0,0,0,0,0,0,
505,Kessler Edwards,24,DAL,SF,12,0,2.2,0,0.5,0,0,0.3,0,0,0.2,0,0,0,0,,0,0.2,0.2,0.1,0,0.1,0.1,0.3,0,
506,Joe Ingles,37,MIN,SF,7,0,3.7,0,0.3,0,0,0.3,0,0,0,,0,0,0,,0.3,0,0.3,1.3,0,0,0.1,0.7,0,
507,Harrison Ingram,22,SAS,SF,1,0,7,0,1,0,0,0,,0,1,0,0,0,0,,0,1,1,0,0,0,0,1,0,
508,Daniss Jenkins,23,DET,PG,2,0,2.5,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0.5,0,
509,Mason Jones,26,SAC,SG,3,0,4.3,0,0.7,0,0,0.7,0,0,0,,0,0,0,,0.3,1,1.3,2.3,0,0,0,0.3,0,
510,Mac McClung,26,ORL,SG,1,0,5,0,0,,0,0,,0,0,,,0,0,,0,1,1,2,0,0,0,0,0,
511,Justin Minaya,25,POR,SF,1,0,6,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,1,0,
512,Riley Minix,24,SAS,SF,1,0,7,0,1,0,0,1,0,0,0,,0,0,0,,0,2,2,0,0,0,0,0,0,
513,Cole Swider,25,DET,SF,2,0,6.5,0,2.5,0,0,2.5,0,0,0,,0,0,0,,0,1,1,0.5,0,0,0,0.5,0,
