Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
250,Johnny Juzang,23,UTA,SG,28,2,17.1,2.4,5.7,0.421,1.6,4.1,0.404,0.8,1.6,0.467,0.566,0.6,0.8,0.857,0.6,1.9,2.5,0.9,0.4,0.1,0.5,1.9,7.1,
251,Trey Lyles,29,SAC,PF,25,2,20.5,2.4,5.7,0.415,1.6,4.1,0.392,0.8,1.6,0.475,0.556,0.8,1,0.76,0.9,3.4,4.3,0.9,0.6,0.5,0.6,1.3,7.1,
252,Shake Milton,28,2TM,SG,30,1,17.7,2.6,5.6,0.456,1,2.7,0.37,1.6,2.9,0.534,0.544,0.9,1.2,0.771,0.5,1.5,2,2.3,0.5,0.1,0.7,1.5,7,
252,Shake Milton,28,BRK,SG,27,1,18.2,2.7,5.8,0.465,1,2.7,0.389,1.7,3.1,0.529,0.554,0.9,1.2,0.758,0.6,1.3,1.9,2.4,0.6,0,0.7,1.6,7.4,
252,Shake Milton,28,LAL,SG,3,0,13.3,1.3,4,0.333,0.7,3,0.222,0.7,1,0.667,0.417,0.7,0.7,1,0,3,3,1.3,0,0.3,0.3,0.7,4,
253,Andre Drummond,31,PHI,C,25,14,19.3,2.8,5.6,0.507,0,0.4,0.111,2.8,5.2,0.534,0.511,1.3,2.3,0.569,2.8,5.3,8.1,0.6,1.2,0.4,1.7,2.5,7,
254,Kris Dunn,30,LAC,PG,34,23,23.9,2.9,6.4,0.445,1.1,3.3,0.342,1.7,3.1,0.551,0.532,0.2,0.4,0.5,0.7,2.8,3.5,2.9,1.7,0.3,1.2,2.5,7,
255,Isaiah Jackson,23,IND,C,5,1,16.8,2.8,4.6,0.609,0,0,,2.8,4.6,0.609,0.609,1.4,2.8,0.5,2.2,3.4,5.6,1,0.6,1.6,1,2.8,7,
256,Sam Merrill,28,CLE,SG,29,2,19.2,2.3,6,0.387,1.8,5.2,0.351,0.5,0.8,0.636,0.54,0.6,0.6,0.944,0.4,1.4,1.8,1.6,0.6,0.2,0.5,2,7,
257,Torrey Craig,34,CHI,SF,9,1,12.6,2.4,5,0.489,1.7,3.9,0.429,0.8,1.1,0.7,0.656,0.3,0.4,0.75,0.9,1.9,2.8,0.6,0.2,0.1,0,1.7,6.9,
258,Haywood Highsmith,28,MIA,SF,30,23,24.7,2.6,5.3,0.488,1.3,3.1,0.424,1.3,2.3,0.574,0.609,0.4,0.6,0.684,0.9,2.4,3.3,1.1,1,0.6,0.9,2.2,6.9,
259,Josh Okogie,26,PHO,SG,20,1,15.7,2.6,5.3,0.486,0.8,2,0.385,1.8,3.3,0.545,0.557,0.9,1.4,0.643,1.5,1.7,3.2,0.5,1,0.4,0.8,1.2,6.8,
260,Cameron Payne,30,NYK,PG,29,1,15.6,2.5,5.9,0.424,1.4,3.6,0.398,1.1,2.3,0.463,0.544,0.4,0.6,0.813,0.3,1.3,1.6,2.8,0.6,0.3,0.6,1.8,6.8,
261,Day'Ron Sharpe,23,BRK,C,13,0,15.7,2.5,5.8,0.44,0.2,1.2,0.133,2.4,4.6,0.517,0.453,1.5,1.7,0.909,2.3,3.3,5.6,1.2,0.9,0.5,1.2,1.8,6.8,
262,Robert Williams,27,POR,C,11,1,16.5,2.8,3.9,0.721,0.1,0.3,0.333,2.7,3.6,0.75,0.733,1.1,1.2,0.923,1.6,3.3,4.9,1.1,0.7,1.5,0.8,1.1,6.8,
263,Bruce Brown,28,TOR,PG,3,0,17.3,2.7,7,0.381,0.3,1.3,0.25,2.3,5.7,0.412,0.405,1,1.3,0.75,0.7,1.3,2,1,0.7,0,0.3,1.3,6.7,
264,Keon Ellis,25,SAC,SG,33,6,20.7,2.2,4.7,0.462,1.4,3.3,0.418,0.8,1.4,0.565,0.609,1,1.2,0.842,0.8,1.5,2.3,1.1,1.3,0.8,0.8,1.8,6.7,
265,Tyrese Martin,25,BRK,SG,18,2,16.7,2.4,5.4,0.439,1.4,3.7,0.379,1,1.8,0.563,0.566,0.5,0.6,0.818,0.8,2.3,3.1,1.5,0.5,0.2,0.7,1.2,6.7,
266,Elfrid Payton,30,NOP,PG,7,3,20.6,3.3,6.6,0.5,0,0.1,0,3.3,6.4,0.511,0.5,0.1,0.3,0.5,0.7,2.7,3.4,6.9,1.4,0.4,2.9,1.4,6.7,
267,Isaac Okoro,24,CLE,SG,23,16,21,2.3,4.7,0.495,1.3,2.7,0.492,1,2,0.5,0.636,0.7,0.9,0.714,0.9,1.3,2.3,1.7,0.7,0.4,0.4,2,6.6,
268,Jeremiah Robinson-Earl,24,NOP,PF,30,4,18.9,2.5,5.6,0.444,0.8,2.5,0.316,1.7,3.1,0.548,0.515,0.8,1,0.862,2,2.7,4.7,1.2,0.8,0.1,0.8,1.3,6.6,
269,Jarace Walker,21,IND,PF,35,1,17.7,2.3,5,0.451,1.1,2.7,0.4,1.2,2.3,0.513,0.56,0.9,1.3,0.66,0.4,2.9,3.3,1.5,1.1,0.3,1.2,1.7,6.5,
270,Cason Wallace,21,OKC,SG,33,20,26.7,2.6,6.3,0.418,0.9,3,0.303,1.7,3.3,0.523,0.49,0.3,0.4,0.846,1.1,2.2,3.4,2.4,1.8,0.7,0.7,2.1,6.5,
271,Alec Burks,33,MIA,SG,18,0,16.8,1.9,4.3,0.449,1.4,3.1,0.473,0.5,1.3,0.391,0.615,1.1,1.3,0.826,0.3,1.7,2,1.1,0.6,0.2,0.3,0.7,6.4,
272,Simone Fontecchio,29,DET,SF,30,0,17.9,2.1,5.1,0.405,1.2,3.4,0.347,0.9,1.7,0.519,0.52,1.1,1.4,0.829,0.6,2.2,2.8,0.9,0.3,0.2,0.8,1.3,6.4,
273,Talen Horton-Tucker,24,CHI,SG,28,0,12.6,2.3,4.9,0.471,0.8,2.2,0.371,1.5,2.7,0.553,0.554,0.9,1.3,0.676,0.5,1.6,2.1,1.5,0.4,0.3,0.6,1.1,6.4,
274,KJ Martin,24,PHI,PF,24,7,20,2.5,4.1,0.616,0.3,0.9,0.381,2.2,3.3,0.679,0.657,1,1.2,0.828,0.9,2.1,3,0.8,0.5,0.7,0.5,2.6,6.4,
275,Ajay Mitchell,22,OKC,SG,34,1,16.5,2.5,4.9,0.506,0.6,1.5,0.431,1.8,3.4,0.539,0.572,0.8,1,0.848,0.5,1.5,2,1.7,0.7,0.1,0.8,1.7,6.4,
276,Davion Mitchell,26,TOR,PG,32,14,25.3,2.4,5.8,0.406,0.9,2.9,0.326,1.4,3,0.484,0.487,0.7,1,0.667,0.4,1.7,2.1,4.7,0.8,0.2,1.8,2.7,6.4,
277,Cole Anthony,24,ORL,PG,33,0,12.5,2.3,6,0.379,0.7,2.4,0.288,1.6,3.6,0.441,0.437,1.1,1.4,0.783,0.4,1.8,2.3,2.5,0.4,0.2,1.5,1.6,6.3,
278,Ryan Dunn,22,PHO,SF,28,12,18.8,2.5,5.8,0.426,1.1,3.6,0.304,1.4,2.1,0.633,0.522,0.3,0.5,0.5,0.8,2.1,2.9,0.9,0.6,0.7,0.5,2.3,6.3,
279,Ron Holland,19,DET,SF,34,1,15.5,2.5,5.3,0.478,0.4,1.9,0.222,2.1,3.4,0.615,0.517,0.8,1.1,0.778,0.5,2.4,2.9,0.7,0.4,0.1,0.9,1.6,6.3,
280,Terance Mann,28,LAC,SG,23,11,21,2.4,5.6,0.438,0.7,2,0.34,1.7,3.5,0.494,0.5,0.7,1,0.667,1,2,3.1,1.7,1,0.2,0.6,2,6.3,
281,Dru Smith,27,MIA,SG,14,1,19.1,2.2,4.4,0.508,1.1,2.1,0.533,1.1,2.2,0.484,0.639,0.7,0.9,0.769,0.9,1.7,2.6,1.6,1.5,0.4,1.2,2.1,6.3,
282,Kenrich Williams,30,OKC,PF,24,0,13.3,2.4,4.3,0.558,1,2.2,0.442,1.5,2.2,0.673,0.668,0.5,0.6,0.929,0.9,2.2,3.1,1,0.7,0.2,0.4,1.7,6.3,
283,Dean Wade,28,CLE,PF,25,16,22.6,2.1,5,0.416,1.5,4.2,0.362,0.6,0.8,0.7,0.568,0.5,1,0.5,0.9,4.2,5.2,1.5,1,0.6,0.2,1.7,6.2,
284,Isaiah Wong,24,CHO,SG,10,0,14.3,2,5.6,0.357,0.4,1.7,0.235,1.6,3.9,0.41,0.393,1.7,2.6,0.654,1.2,1,2.2,1.8,0.6,0,1,1.1,6.1,
